Unidade Estratégica,Relacionamento Interpessoal,Liderança,Organização,Responsabilidade,Flexibilidade,Disponibilidade,Comunicação,Gestão de Materiais,Atualização,Conhecimento
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,4,5,4,5
Centro de Ciências da Saúde,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,5,5,4,4,4
Centro de Ciências da Saúde,5,4,5,5,5,4,4,5,4,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",4,4,3,4,4,4,4,4,4,4
Centro de Ciências Jurídicas e Econômicas,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,4,4,5,5,5,5,5,5,5
Centro de Educação,5,5,4,5,5,5,5,5,5,5
Centro de Educação,5,5,4,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,4,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,4,5,5
Centro de Educação Física e Desportos,5,5,5,5,4,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,4,4,4,4,3,4,4,4,4,4
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,4,4,5,5,4,5,4,5,5,5
Centro de Educação Física e Desportos,3,3,3,3,2,3,4,4,4,3
Centro de Educação Física e Desportos,5,5,5,5,5,4,4,4,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,4,5,5,5,5,5,5,4
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,4,4,4,4,4,4,4,4,4,4
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,4,4,4,4,4,4,4,4,4,4
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,4,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,4,3,3,3,4,4,3,4,4,4
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,3,4,4,5,4,5,4,4,4,3
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,1,1,1,1,1,1,1,1,1,1
Centro de Educação,4,5,5,5,4,4,4,5,5,5
Centro de Educação,3,4,5,5,4,4,3,5,5,5
Centro de Educação,4,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,4,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,4,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Secretaria de Órgãos Colegiados Superiores,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,3,3,3,2,3,3,3,3,2,2
Centro Universitário Norte do Espírito Santo,1,1,2,1,2,2,1,4,3,1
Centro Universitário Norte do Espírito Santo,4,4,4,4,4,4,4,5,4,4
Centro Universitário Norte do Espírito Santo,5,5,5,4,5,4,4,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,1,1,1,1,3,1,2,2,3,1
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,4
Pró-Reitoria de Pesquisa e Pós-Graduação,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,4,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-reitoria de Políticas Afirmativas e Assistência Estudantil,4,5,5,5,4,5,4,5,4,4
Pró-reitoria de Políticas Afirmativas e Assistência Estudantil,3,4,4,5,4,5,3,5,5,5
Pró-reitoria de Políticas Afirmativas e Assistência Estudantil,3,2,5,5,2,3,1,4,5,5
Pró-reitoria de Políticas Afirmativas e Assistência Estudantil,4,5,5,5,4,4,4,4,5,5
Pró-reitoria de Políticas Afirmativas e Assistência Estudantil,3,3,5,5,3,5,4,5,5,5
Pró-reitoria de Políticas Afirmativas e Assistência Estudantil,4,5,5,5,5,5,4,5,5,5
Superintendência de Orçamento e Finanças,4,4,4,5,4,5,4,4,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,4,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,4,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,4,4,4,5,4,4,3,4,5,5
Pró-Reitoria de Gestão de Pessoas,4,5,4,4,4,5,4,4,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Reitoria,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,4,4,4,3,4,4,4,4,4
Superintendência de Contabilidade e Finanças,4,3,3,5,4,5,3,5,4,5
Pró-Reitoria de Administração,5,4,4,4,4,5,5,5,3,4
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,4
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,4,4,4,4,4,4,4,5,4,4
Pró-Reitoria de Administração,5,5,4,5,5,5,5,5,5,4
Pró-Reitoria de Administração,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,4,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,4,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,4,4,5,4,5,5,4,5,4,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,4,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,4,4,4,4,4,4,4,3,5,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,4,5,5,5,5,4,5,5
Pró-Reitoria de Graduação,4,4,5,5,4,5,4,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,4,5,5,5,5,4
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,4,5,5
Centro de Educação Física e Desportos,4,4,4,4,4,4,4,4,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,3,3,4,5,3,2,4,5,4
Pró-Reitoria de Administração,4,4,4,4,3,4,4,4,3,4
Pró-Reitoria de Administração,5,4,4,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,4,5,4,5,5,4
Pró-Reitoria de Administração,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,4,5,4,5,4,5,5,5
Gabinete da Reitoria,1,1,2,4,1,1,1,4,3,1
Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,4,5,4,4,4,4,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Graduação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,5,5,5,4,5,4,5,4,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,5,4,5,5,5,4,5,5,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,4,3,5,4,5,4,4,4,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,3,4,4,3,3,3,4,4,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,4,4,5,5,5,4,5,4,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,5,3,5,5,5,3,4,3,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,5,5,5,4,4,4,5,5,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,4,3,4,5,5,4,5,4,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,5,5,4,5,5,5,5,4,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,4,4,5,4,5,4,5,4,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,4,4,4,4,4,4,4,3,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,2,2,3,3,3,2,3,3,3
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,4,4,5,5,4,4,5,4,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,5,4,5,5,4,4,5,5,5
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,3,3,3,3,3,3,3,3,3,3
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,5,5,5,4,5,5,5,5,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,4,3,3,3,3,3,4,5,4,4
Pró-Reitoria de Políticas Afirmativas e Assistência Estudantil,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Administração,5,5,5,5,4,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,4,4,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,4,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Planejamento e Desenvolvimento Institucional,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,4,5,4,5,5,5
Superintendência de Infraestrutura,4,5,5,4,5,5,4,5,4,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,4,5,5,4,5,5,4,5,5
Superintendência de Infraestrutura,5,4,5,5,4,5,5,5,5,5
Superintendência de Infraestrutura,5,4,5,5,4,5,5,5,5,5
Superintendência de Infraestrutura,5,5,4,5,5,5,4,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Infraestrutura,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,4,4,4,4,4,4,4,4,4,4
Superintendência de Tecnologia da Informação,5,5,4,5,5,5,4,5,5,5
Superintendência de Tecnologia da Informação,5,4,5,5,4,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,4,5,5,5,4,4,4,5,5,5
Superintendência de Tecnologia da Informação,3,3,4,5,4,4,3,5,5,5
Superintendência de Tecnologia da Informação,5,4,4,5,4,5,4,4,4,4
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,4,4,4,4,4,4,4,4,4,4
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,3,3,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,4,4,4,4,5,4,5,4,4
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,4,5,5,4,5,4,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Pró-Reitoria de Gestão de Pessoas,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,4,4,5,5,5,4,4,5,4,4
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,3,3,3,3,3,3,3,3,3,3
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,4,5,5,5,4,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Superintendência de Tecnologia da Informação,5,5,5,5,5,5,5,5,5,5
Secretaria de Cultura,4,3,3,4,3,4,4,5,4,3
Secretaria de Cultura,5,5,5,5,5,5,5,5,5,5
Secretaria de Cultura,1,1,1,2,1,2,1,1,1,1
Secretaria de Cultura,4,3,3,5,5,5,3,5,3,3
Secretaria de Cultura,5,5,5,5,5,5,5,5,5,5
Secretaria de Cultura,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Jurídicas e Econômicas,4,4,4,4,4,4,4,4,4,4
Centro de Ciências Jurídicas e Econômicas,5,4,5,5,5,5,5,4,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,4,5,4,4,5,5,4,4,5,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,4,5,5,5,5
Centro de Ciências da Saúde,5,5,4,4,5,5,5,5,4,4
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,4,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
Centro de Artes,5,5,5,5,5,4,5,4,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,4,4,5,4,5,5
Centro de Ciências da Saúde,5,4,5,5,5,5,5,5,5,4
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,4,5,5,4,5,4,5,4,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,4,5,4,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Artes,4,4,4,4,4,4,4,4,4,4
Centro de Ciências da Saúde,4,4,4,5,4,4,4,4,5,4
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,4,4,4,4,4,4,4,5,4
Centro de Ciências da Saúde,5,5,5,5,4,5,4,4,4,4
Centro de Ciências da Saúde,5,5,5,5,4,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação,5,5,5,5,5,5,5,5,5,5
Centro de Educação Física e Desportos,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,4,3,5,5,3,5,3,4,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,4
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,4,5,5,5,4,5,5,5,5,5
Centro Tecnológico,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Exatas,5,5,5,5,5,5,5,5,5,5
Centro de Ciências da Saúde,4,5,5,5,4,5,4,5,5,5
Centro de Ciências da Saúde,5,5,5,5,5,5,5,5,5,5
Secretaria de Cultura,3,3,2,4,4,5,2,5,3,2
Gabinete da Reitoria,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,5,5,5,5,4,4,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,4,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,4,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,4,5,5,5,4,5
Centro de Ciências Agrárias e Engenharias,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Agrárias e Engenharias,5,5,4,5,5,5,4,5,5,5
Centro de Artes,5,5,4,5,5,5,5,5,4,4
Centro de Artes,5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,5,5,5
"Centro de Ciências Exatas, Naturais e da Saúde",5,5,5,5,5,5,5,4,4,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro Universitário Norte do Espírito Santo,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,4,5
Centro de Ciências Humanas e Naturais,5,5,5,5,5,5,5,5,5,5
Centro de Ciências Humanas e Naturais,4,4,4,4,4,4,4,4,4,4
